%% LaTeX2e file `MerolegesNyomoeroCalc.dat'
%% generated by the `filecontents' environment
%% from source `tikz/main-figure4' on 2019/06/11.
%%
   x            y       F_xFL        F_xBL       F_xFR       F_xBR   F_yFL       F_yBL       F_yFR       F_yBR       F_zFL   F_zBL       F_zFR   F_zBR
   0.00000    0.00000    0.00000    0.00000    3.13433   -3.13433   -0.00000    0.00000    0.00000   -0.00000    0.00000    0.00000    0.00000   31.00000
   0.00000    0.05000    0.00000    0.00000    3.13433   -3.13433   -0.23391    0.23391    0.23391   -0.23391    0.00000    0.00000    2.31343   28.68657
   0.00000    0.10000    0.00000    0.00000    3.13433   -3.13433   -0.46781    0.46781    0.46781   -0.46781    0.00000    0.00000    4.62687   26.37313
   0.00000    0.15000    0.00000    0.00000    3.13433   -3.13433   -0.70172    0.70172    0.70172   -0.70172    0.00000    0.00000    6.94030   24.05970
   0.00000    0.20000    0.00000    0.00000    3.13433   -3.13433   -0.93562    0.93562    0.93562   -0.93562    0.00000    0.00000    9.25373   21.74627
   0.00000    0.25000    0.00000    0.00000    3.13433   -3.13433   -1.16953    1.16953    1.16953   -1.16953    0.00000    0.00000   11.56716   19.43284
   0.00000    0.30000    0.00000    0.00000    3.13433   -3.13433   -1.40343    1.40343    1.40343   -1.40343    0.00000    0.00000   13.88060   17.11940
   0.00000    0.35000    0.00000    0.00000    3.13433   -3.13433   -1.63734    1.63734    1.63734   -1.63734    0.00000    0.00000   16.19403   14.80597
   0.00000    0.40000    0.00000    0.00000    3.13433   -3.13433   -1.87124    1.87124    1.87124   -1.87124    0.00000    0.00000   18.50746   12.49254
   0.00000    0.45000    0.00000    0.00000    3.13433   -3.13433   -2.10515    2.10515    2.10515   -2.10515    0.00000    0.00000   20.82090   10.17910
   0.00000    0.50000    0.00000    0.00000    3.13433   -3.13433   -2.33905    2.33905    2.33905   -2.33905    0.00000    0.00000   23.13433    7.86567
   0.00000    0.55000    0.00000    0.00000    3.13433   -3.13433   -2.57296    2.57296    2.57296   -2.57296    0.00000    0.00000   25.44776    5.55224
   0.00000    0.60000    0.00000    0.00000    3.13433   -3.13433   -2.80686    2.80686    2.80686   -2.80686    0.00000    0.00000   27.76119    3.23881
   0.00000    0.65000    0.00000    0.00000    3.13433   -3.13433   -3.04077    3.04077    3.04077   -3.04077    0.00000    0.00000   30.07463    0.92537
   0.05000    0.00000    0.23391   -0.23391    2.90042   -2.90042   -0.00000    0.00000    0.00000   -0.00000    0.00000    2.31343    0.00000   28.68657
   0.05000    0.05000    0.23391   -0.23391    2.90042   -2.90042   -0.23391    0.23391    0.23391   -0.23391    0.17264    2.14079    2.14079   26.54578
   0.05000    0.10000    0.23391   -0.23391    2.90042   -2.90042   -0.46781    0.46781    0.46781   -0.46781    0.34529    1.96814    4.28158   24.40499
   0.05000    0.15000    0.23391   -0.23391    2.90042   -2.90042   -0.70172    0.70172    0.70172   -0.70172    0.51793    1.79550    6.42237   22.26420
   0.05000    0.20000    0.23391   -0.23391    2.90042   -2.90042   -0.93562    0.93562    0.93562   -0.93562    0.69058    1.62286    8.56315   20.12341
   0.05000    0.25000    0.23391   -0.23391    2.90042   -2.90042   -1.16953    1.16953    1.16953   -1.16953    0.86322    1.45021   10.70394   17.98262
   0.05000    0.30000    0.23391   -0.23391    2.90042   -2.90042   -1.40343    1.40343    1.40343   -1.40343    1.03587    1.27757   12.84473   15.84184
   0.05000    0.35000    0.23391   -0.23391    2.90042   -2.90042   -1.63734    1.63734    1.63734   -1.63734    1.20851    1.10492   14.98552   13.70105
   0.05000    0.40000    0.23391   -0.23391    2.90042   -2.90042   -1.87124    1.87124    1.87124   -1.87124    1.38115    0.93228   17.12631   11.56026
   0.05000    0.45000    0.23391   -0.23391    2.90042   -2.90042   -2.10515    2.10515    2.10515   -2.10515    1.55380    0.75963   19.26710    9.41947
   0.05000    0.50000    0.23391   -0.23391    2.90042   -2.90042   -2.33905    2.33905    2.33905   -2.33905    1.72644    0.58699   21.40789    7.27868
   0.05000    0.55000    0.23391   -0.23391    2.90042   -2.90042   -2.57296    2.57296    2.57296   -2.57296    1.89909    0.41435   23.54867    5.13789
   0.05000    0.60000    0.23391   -0.23391    2.90042   -2.90042   -2.80686    2.80686    2.80686   -2.80686    2.07173    0.24170   25.68946    2.99710
   0.05000    0.65000    0.23391   -0.23391    2.90042   -2.90042   -3.04077    3.04077    3.04077   -3.04077    2.24438    0.06906   27.83025    0.85632
   0.10000    0.00000    0.46781   -0.46781    2.66652   -2.66652   -0.00000    0.00000    0.00000   -0.00000    0.00000    4.62687    0.00000   26.37313
   0.10000    0.05000    0.46781   -0.46781    2.66652   -2.66652   -0.23391    0.23391    0.23391   -0.23391    0.34529    4.28158    1.96814   24.40499
   0.10000    0.10000    0.46781   -0.46781    2.66652   -2.66652   -0.46781    0.46781    0.46781   -0.46781    0.69058    3.93629    3.93629   22.43685
   0.10000    0.15000    0.46781   -0.46781    2.66652   -2.66652   -0.70172    0.70172    0.70172   -0.70172    1.03587    3.59100    5.90443   20.46870
   0.10000    0.20000    0.46781   -0.46781    2.66652   -2.66652   -0.93562    0.93562    0.93562   -0.93562    1.38115    3.24571    7.87258   18.50056
   0.10000    0.25000    0.46781   -0.46781    2.66652   -2.66652   -1.16953    1.16953    1.16953   -1.16953    1.72644    2.90042    9.84072   16.53241
   0.10000    0.30000    0.46781   -0.46781    2.66652   -2.66652   -1.40343    1.40343    1.40343   -1.40343    2.07173    2.55513   11.80887   14.56427
   0.10000    0.35000    0.46781   -0.46781    2.66652   -2.66652   -1.63734    1.63734    1.63734   -1.63734    2.41702    2.20985   13.77701   12.59612
   0.10000    0.40000    0.46781   -0.46781    2.66652   -2.66652   -1.87124    1.87124    1.87124   -1.87124    2.76231    1.86456   15.74515   10.62798
   0.10000    0.45000    0.46781   -0.46781    2.66652   -2.66652   -2.10515    2.10515    2.10515   -2.10515    3.10760    1.51927   17.71330    8.65984
   0.10000    0.50000    0.46781   -0.46781    2.66652   -2.66652   -2.33905    2.33905    2.33905   -2.33905    3.45288    1.17398   19.68144    6.69169
   0.10000    0.55000    0.46781   -0.46781    2.66652   -2.66652   -2.57296    2.57296    2.57296   -2.57296    3.79817    0.82869   21.64959    4.72355
   0.10000    0.60000    0.46781   -0.46781    2.66652   -2.66652   -2.80686    2.80686    2.80686   -2.80686    4.14346    0.48340   23.61773    2.75540
   0.10000    0.65000    0.46781   -0.46781    2.66652   -2.66652   -3.04077    3.04077    3.04077   -3.04077    4.48875    0.13812   25.58588    0.78726
   0.15000    0.00000    0.70172   -0.70172    2.43261   -2.43261   -0.00000    0.00000    0.00000   -0.00000    0.00000    6.94030    0.00000   24.05970
   0.15000    0.05000    0.70172   -0.70172    2.43261   -2.43261   -0.23391    0.23391    0.23391   -0.23391    0.51793    6.42237    1.79550   22.26420
   0.15000    0.10000    0.70172   -0.70172    2.43261   -2.43261   -0.46781    0.46781    0.46781   -0.46781    1.03587    5.90443    3.59100   20.46870
   0.15000    0.15000    0.70172   -0.70172    2.43261   -2.43261   -0.70172    0.70172    0.70172   -0.70172    1.55380    5.38650    5.38650   18.67320
   0.15000    0.20000    0.70172   -0.70172    2.43261   -2.43261   -0.93562    0.93562    0.93562   -0.93562    2.07173    4.86857    7.18200   16.87770
   0.15000    0.25000    0.70172   -0.70172    2.43261   -2.43261   -1.16953    1.16953    1.16953   -1.16953    2.58966    4.35063    8.97750   15.08220
   0.15000    0.30000    0.70172   -0.70172    2.43261   -2.43261   -1.40343    1.40343    1.40343   -1.40343    3.10760    3.83270   10.77300   13.28670
   0.15000    0.35000    0.70172   -0.70172    2.43261   -2.43261   -1.63734    1.63734    1.63734   -1.63734    3.62553    3.31477   12.56850   11.49120
   0.15000    0.40000    0.70172   -0.70172    2.43261   -2.43261   -1.87124    1.87124    1.87124   -1.87124    4.14346    2.79684   14.36400    9.69570
   0.15000    0.45000    0.70172   -0.70172    2.43261   -2.43261   -2.10515    2.10515    2.10515   -2.10515    4.66139    2.27890   16.15950    7.90020
   0.15000    0.50000    0.70172   -0.70172    2.43261   -2.43261   -2.33905    2.33905    2.33905   -2.33905    5.17933    1.76097   17.95500    6.10470
   0.15000    0.55000    0.70172   -0.70172    2.43261   -2.43261   -2.57296    2.57296    2.57296   -2.57296    5.69726    1.24304   19.75050    4.30920
   0.15000    0.60000    0.70172   -0.70172    2.43261   -2.43261   -2.80686    2.80686    2.80686   -2.80686    6.21519    0.72511   21.54600    2.51370
   0.15000    0.65000    0.70172   -0.70172    2.43261   -2.43261   -3.04077    3.04077    3.04077   -3.04077    6.73313    0.20717   23.34150    0.71820
   0.20000    0.00000    0.93562   -0.93562    2.19871   -2.19871   -0.00000    0.00000    0.00000   -0.00000    0.00000    9.25373    0.00000   21.74627
   0.20000    0.05000    0.93562   -0.93562    2.19871   -2.19871   -0.23391    0.23391    0.23391   -0.23391    0.69058    8.56315    1.62286   20.12341
   0.20000    0.10000    0.93562   -0.93562    2.19871   -2.19871   -0.46781    0.46781    0.46781   -0.46781    1.38115    7.87258    3.24571   18.50056
   0.20000    0.15000    0.93562   -0.93562    2.19871   -2.19871   -0.70172    0.70172    0.70172   -0.70172    2.07173    7.18200    4.86857   16.87770
   0.20000    0.20000    0.93562   -0.93562    2.19871   -2.19871   -0.93562    0.93562    0.93562   -0.93562    2.76231    6.49142    6.49142   15.25485
   0.20000    0.25000    0.93562   -0.93562    2.19871   -2.19871   -1.16953    1.16953    1.16953   -1.16953    3.45288    5.80085    8.11428   13.63199
   0.20000    0.30000    0.93562   -0.93562    2.19871   -2.19871   -1.40343    1.40343    1.40343   -1.40343    4.14346    5.11027    9.73714   12.00913
   0.20000    0.35000    0.93562   -0.93562    2.19871   -2.19871   -1.63734    1.63734    1.63734   -1.63734    4.83404    4.41969   11.35999   10.38628
   0.20000    0.40000    0.93562   -0.93562    2.19871   -2.19871   -1.87124    1.87124    1.87124   -1.87124    5.52462    3.72912   12.98285    8.76342
   0.20000    0.45000    0.93562   -0.93562    2.19871   -2.19871   -2.10515    2.10515    2.10515   -2.10515    6.21519    3.03854   14.60570    7.14057
   0.20000    0.50000    0.93562   -0.93562    2.19871   -2.19871   -2.33905    2.33905    2.33905   -2.33905    6.90577    2.34796   16.22856    5.51771
   0.20000    0.55000    0.93562   -0.93562    2.19871   -2.19871   -2.57296    2.57296    2.57296   -2.57296    7.59635    1.65738   17.85141    3.89485
   0.20000    0.60000    0.93562   -0.93562    2.19871   -2.19871   -2.80686    2.80686    2.80686   -2.80686    8.28692    0.96681   19.47427    2.27200
   0.20000    0.65000    0.93562   -0.93562    2.19871   -2.19871   -3.04077    3.04077    3.04077   -3.04077    8.97750    0.27623   21.09713    0.64914
   0.25000    0.00000    1.16953   -1.16953    1.96480   -1.96480   -0.00000    0.00000    0.00000   -0.00000    0.00000   11.56716    0.00000   19.43284
   0.25000    0.05000    1.16953   -1.16953    1.96480   -1.96480   -0.23391    0.23391    0.23391   -0.23391    0.86322   10.70394    1.45021   17.98262
   0.25000    0.10000    1.16953   -1.16953    1.96480   -1.96480   -0.46781    0.46781    0.46781   -0.46781    1.72644    9.84072    2.90042   16.53241
   0.25000    0.15000    1.16953   -1.16953    1.96480   -1.96480   -0.70172    0.70172    0.70172   -0.70172    2.58966    8.97750    4.35063   15.08220
   0.25000    0.20000    1.16953   -1.16953    1.96480   -1.96480   -0.93562    0.93562    0.93562   -0.93562    3.45288    8.11428    5.80085   13.63199
   0.25000    0.25000    1.16953   -1.16953    1.96480   -1.96480   -1.16953    1.16953    1.16953   -1.16953    4.31611    7.25106    7.25106   12.18178
   0.25000    0.30000    1.16953   -1.16953    1.96480   -1.96480   -1.40343    1.40343    1.40343   -1.40343    5.17933    6.38784    8.70127   10.73157
   0.25000    0.35000    1.16953   -1.16953    1.96480   -1.96480   -1.63734    1.63734    1.63734   -1.63734    6.04255    5.52462   10.15148    9.28135
   0.25000    0.40000    1.16953   -1.16953    1.96480   -1.96480   -1.87124    1.87124    1.87124   -1.87124    6.90577    4.66139   11.60169    7.83114
   0.25000    0.45000    1.16953   -1.16953    1.96480   -1.96480   -2.10515    2.10515    2.10515   -2.10515    7.76899    3.79817   13.05190    6.38093
   0.25000    0.50000    1.16953   -1.16953    1.96480   -1.96480   -2.33905    2.33905    2.33905   -2.33905    8.63221    2.93495   14.50212    4.93072
   0.25000    0.55000    1.16953   -1.16953    1.96480   -1.96480   -2.57296    2.57296    2.57296   -2.57296    9.49543    2.07173   15.95233    3.48051
   0.25000    0.60000    1.16953   -1.16953    1.96480   -1.96480   -2.80686    2.80686    2.80686   -2.80686   10.35865    1.20851   17.40254    2.03030
   0.25000    0.65000    1.16953   -1.16953    1.96480   -1.96480   -3.04077    3.04077    3.04077   -3.04077   11.22188    0.34529   18.85275    0.58008
   0.30000    0.00000    1.40343   -1.40343    1.73090   -1.73090   -0.00000    0.00000    0.00000   -0.00000    0.00000   13.88060    0.00000   17.11940
   0.30000    0.05000    1.40343   -1.40343    1.73090   -1.73090   -0.23391    0.23391    0.23391   -0.23391    1.03587   12.84473    1.27757   15.84184
   0.30000    0.10000    1.40343   -1.40343    1.73090   -1.73090   -0.46781    0.46781    0.46781   -0.46781    2.07173   11.80887    2.55513   14.56427
   0.30000    0.15000    1.40343   -1.40343    1.73090   -1.73090   -0.70172    0.70172    0.70172   -0.70172    3.10760   10.77300    3.83270   13.28670
   0.30000    0.20000    1.40343   -1.40343    1.73090   -1.73090   -0.93562    0.93562    0.93562   -0.93562    4.14346    9.73714    5.11027   12.00913
   0.30000    0.25000    1.40343   -1.40343    1.73090   -1.73090   -1.16953    1.16953    1.16953   -1.16953    5.17933    8.70127    6.38784   10.73157
   0.30000    0.30000    1.40343   -1.40343    1.73090   -1.73090   -1.40343    1.40343    1.40343   -1.40343    6.21519    7.66540    7.66540    9.45400
   0.30000    0.35000    1.40343   -1.40343    1.73090   -1.73090   -1.63734    1.63734    1.63734   -1.63734    7.25106    6.62954    8.94297    8.17643
   0.30000    0.40000    1.40343   -1.40343    1.73090   -1.73090   -1.87124    1.87124    1.87124   -1.87124    8.28692    5.59367   10.22054    6.89886
   0.30000    0.45000    1.40343   -1.40343    1.73090   -1.73090   -2.10515    2.10515    2.10515   -2.10515    9.32279    4.55781   11.49811    5.62130
   0.30000    0.50000    1.40343   -1.40343    1.73090   -1.73090   -2.33905    2.33905    2.33905   -2.33905   10.35865    3.52194   12.77567    4.34373
   0.30000    0.55000    1.40343   -1.40343    1.73090   -1.73090   -2.57296    2.57296    2.57296   -2.57296   11.39452    2.48608   14.05324    3.06616
   0.30000    0.60000    1.40343   -1.40343    1.73090   -1.73090   -2.80686    2.80686    2.80686   -2.80686   12.43039    1.45021   15.33081    1.78859
   0.30000    0.65000    1.40343   -1.40343    1.73090   -1.73090   -3.04077    3.04077    3.04077   -3.04077   13.46625    0.41435   16.60838    0.51103
   0.35000    0.00000    1.63734   -1.63734    1.49699   -1.49699   -0.00000    0.00000    0.00000   -0.00000    0.00000   16.19403    0.00000   14.80597
   0.35000    0.05000    1.63734   -1.63734    1.49699   -1.49699   -0.23391    0.23391    0.23391   -0.23391    1.20851   14.98552    1.10492   13.70105
   0.35000    0.10000    1.63734   -1.63734    1.49699   -1.49699   -0.46781    0.46781    0.46781   -0.46781    2.41702   13.77701    2.20985   12.59612
   0.35000    0.15000    1.63734   -1.63734    1.49699   -1.49699   -0.70172    0.70172    0.70172   -0.70172    3.62553   12.56850    3.31477   11.49120
   0.35000    0.20000    1.63734   -1.63734    1.49699   -1.49699   -0.93562    0.93562    0.93562   -0.93562    4.83404   11.35999    4.41969   10.38628
   0.35000    0.25000    1.63734   -1.63734    1.49699   -1.49699   -1.16953    1.16953    1.16953   -1.16953    6.04255   10.15148    5.52462    9.28135
   0.35000    0.30000    1.63734   -1.63734    1.49699   -1.49699   -1.40343    1.40343    1.40343   -1.40343    7.25106    8.94297    6.62954    8.17643
   0.35000    0.35000    1.63734   -1.63734    1.49699   -1.49699   -1.63734    1.63734    1.63734   -1.63734    8.45957    7.73446    7.73446    7.07151
   0.35000    0.40000    1.63734   -1.63734    1.49699   -1.49699   -1.87124    1.87124    1.87124   -1.87124    9.66808    6.52595    8.83939    5.96658
   0.35000    0.45000    1.63734   -1.63734    1.49699   -1.49699   -2.10515    2.10515    2.10515   -2.10515   10.87659    5.31744    9.94431    4.86166
   0.35000    0.50000    1.63734   -1.63734    1.49699   -1.49699   -2.33905    2.33905    2.33905   -2.33905   12.08510    4.10893   11.04923    3.75674
   0.35000    0.55000    1.63734   -1.63734    1.49699   -1.49699   -2.57296    2.57296    2.57296   -2.57296   13.29361    2.90042   12.15415    2.65182
   0.35000    0.60000    1.63734   -1.63734    1.49699   -1.49699   -2.80686    2.80686    2.80686   -2.80686   14.50212    1.69191   13.25908    1.54689
   0.35000    0.65000    1.63734   -1.63734    1.49699   -1.49699   -3.04077    3.04077    3.04077   -3.04077   15.71063    0.48340   14.36400    0.44197
   0.40000    0.00000    1.87124   -1.87124    1.26309   -1.26309   -0.00000    0.00000    0.00000   -0.00000    0.00000   18.50746    0.00000   12.49254
   0.40000    0.05000    1.87124   -1.87124    1.26309   -1.26309   -0.23391    0.23391    0.23391   -0.23391    1.38115   17.12631    0.93228   11.56026
   0.40000    0.10000    1.87124   -1.87124    1.26309   -1.26309   -0.46781    0.46781    0.46781   -0.46781    2.76231   15.74515    1.86456   10.62798
   0.40000    0.15000    1.87124   -1.87124    1.26309   -1.26309   -0.70172    0.70172    0.70172   -0.70172    4.14346   14.36400    2.79684    9.69570
   0.40000    0.20000    1.87124   -1.87124    1.26309   -1.26309   -0.93562    0.93562    0.93562   -0.93562    5.52462   12.98285    3.72912    8.76342
   0.40000    0.25000    1.87124   -1.87124    1.26309   -1.26309   -1.16953    1.16953    1.16953   -1.16953    6.90577   11.60169    4.66139    7.83114
   0.40000    0.30000    1.87124   -1.87124    1.26309   -1.26309   -1.40343    1.40343    1.40343   -1.40343    8.28692   10.22054    5.59367    6.89886
   0.40000    0.35000    1.87124   -1.87124    1.26309   -1.26309   -1.63734    1.63734    1.63734   -1.63734    9.66808    8.83939    6.52595    5.96658
   0.40000    0.40000    1.87124   -1.87124    1.26309   -1.26309   -1.87124    1.87124    1.87124   -1.87124   11.04923    7.45823    7.45823    5.03431
   0.40000    0.45000    1.87124   -1.87124    1.26309   -1.26309   -2.10515    2.10515    2.10515   -2.10515   12.43039    6.07708    8.39051    4.10203
   0.40000    0.50000    1.87124   -1.87124    1.26309   -1.26309   -2.33905    2.33905    2.33905   -2.33905   13.81154    4.69592    9.32279    3.16975
   0.40000    0.55000    1.87124   -1.87124    1.26309   -1.26309   -2.57296    2.57296    2.57296   -2.57296   15.19269    3.31477   10.25507    2.23747
